config_id,score,PREDICTION_COST,DYNAMIC_TRAFFIC_COST,REPLAN_INTERVAL,success_rate,collect_rate,energy_per_cabbage,turns,overlap
0,1029.026201431492,0.4,0.05,4,1.0,1.0,0.8454540398630515,152.6,0.33822254789594414
1,1029.026201431492,0.4,0.05,5,1.0,1.0,0.8454540398630515,152.6,0.33822254789594414
2,1029.026201431492,0.4,0.05,6,1.0,1.0,0.8454540398630515,152.6,0.33822254789594414
3,1028.7644170717303,0.4,0.1,4,1.0,1.0,0.8455900942848202,152.7,0.3388479166275076
4,1028.7644170717303,0.4,0.1,5,1.0,1.0,0.8455900942848202,152.7,0.3388479166275076
5,1028.7644170717303,0.4,0.1,6,1.0,1.0,0.8455900942848202,152.7,0.3388479166275076
6,1028.4300919910424,0.4,0.2,4,1.0,1.0,0.845427492658804,152.5,0.34101123321042215
7,1028.4300919910424,0.4,0.2,5,1.0,1.0,0.845427492658804,152.5,0.34101123321042215
8,1028.4300919910424,0.4,0.2,6,1.0,1.0,0.845427492658804,152.5,0.34101123321042215
9,1029.115185519619,0.6,0.05,4,1.0,1.0,0.8453224609156831,152.4,0.33868766417501395
10,1029.115185519619,0.6,0.05,5,1.0,1.0,0.8453224609156831,152.4,0.33868766417501395
11,1029.115185519619,0.6,0.05,6,1.0,1.0,0.8453224609156831,152.4,0.33868766417501395
12,1028.8534011598576,0.6,0.1,4,1.0,1.0,0.8454585153374519,152.5,0.3393130329065773
13,1028.8534011598576,0.6,0.1,5,1.0,1.0,0.8454585153374519,152.5,0.3393130329065773
14,1028.8534011598576,0.6,0.1,6,1.0,1.0,0.8454585153374519,152.5,0.3393130329065773
15,1028.5190760791697,0.6,0.2,4,1.0,1.0,0.8452959137114358,152.3,0.3414763494894919
16,1028.5190760791697,0.6,0.2,5,1.0,1.0,0.8452959137114358,152.3,0.3414763494894919
17,1028.5190760791697,0.6,0.2,6,1.0,1.0,0.8452959137114358,152.3,0.3414763494894919
18,1029.766119098132,0.8,0.05,4,1.0,1.0,0.8443191714419989,152.1,0.33744445617675267
19,1029.766119098132,0.8,0.05,5,1.0,1.0,0.8443191714419989,152.1,0.33744445617675267
20,1029.766119098132,0.8,0.05,6,1.0,1.0,0.8443191714419989,152.1,0.33744445617675267
21,1029.5043347383703,0.8,0.1,4,1.0,1.0,0.8444552258637679,152.2,0.3380698249083161
22,1029.5043347383703,0.8,0.1,5,1.0,1.0,0.8444552258637679,152.2,0.3380698249083161
23,1029.5043347383703,0.8,0.1,6,1.0,1.0,0.8444552258637679,152.2,0.3380698249083161
24,1027.406876394975,0.8,0.2,4,1.0,1.0,0.8466503478149872,152.8,0.3437084387697022
25,1027.406876394975,0.8,0.2,5,1.0,1.0,0.8466503478149872,152.8,0.3437084387697022
26,1027.406876394975,0.8,0.2,6,1.0,1.0,0.8466503478149872,152.8,0.3437084387697022
